vehicle_id,dealer_id,plate,year,month,max_date,monthly_score,total_penalties,total_km
360,VGIPS1,AG 9366 UB,2022,4,28:45.0,100,0,0
366,VSPPR1,BG8680AH,2022,4,28:28.0,87,12.75,972.1
393,VLPMA1,MJEC1JG43L5188159,2022,4,32:21.0,65,34.62,811.7
519,VJDMI1,B 9199 KFU,2022,4,35:19.0,29,70.82,605.8
1077,VKMPM1,DA 8578 ZL,2022,4,14:44.0,72,27.81,1370.9
372,VSTIU1,MJEFM8JN1LJE32975,2022,4,28:38.0,72,28.27,3348.7
391,VKABP1,KB 8233 FB,2022,4,14:49.0,100,0,0
1362,VWCKM1,S 9139 UO,2022,4,34:11.0,87,13.4,2320.3
597,VGICP2,DR 8472 KT,2022,4,05:33.0,0,102.6,529.7
619,VJDMI1,MJEFM8JN1LJE33015,2022,4,16:33.0,0,151.08,4791.5
796,VGIPS1,AG 9805 UW,2022,4,59:38.0,0,216.13,1272
1721,VSGRM1,ATN 84,2022,4,09:13.0,92,8.32,2645.8
1742,VWCKM1,MJEFL8JW1LJE24294,2022,4,44:12.0,99,1.45,967.6
531,VJARM1,B 9464 BIS,2022,4,24:37.0,100,0,1582.9
552,VKPPK1,KT 8143 NU,2022,4,37:16.0,25,75.14,1886
843,VJDMI1,T 9705 AB,2022,4,26:07.0,48,51.76,2919.1
882,VJMGI1,Z 9701 MN,2022,4,36:10.0,76,24.15,521.8
948,VGIPS1,S 8872 UZ,2022,4,28:13.0,92,7.86,538.1
982,VJDMI1,MJEFM8JW1LJE13688,2022,4,39:04.0,89,10.75,1782.7
1048,VSPLR1,BE 9964 NN,2022,4,33:26.0,84,16.34,6273.9
1067,VKPPK1,MJEFM8JN1LJE32943,2022,4,12:29.0,31,68.69,1938.6
19,VWDCM1,AA 7026 OD,2022,4,06:53.0,96,3.65,7031.6
25,VWDCM1,AA 7015 OD,2022,4,36:42.0,94,6.12,5303
30,VWDCM1,AA 7014 OD,2022,4,43:26.0,96,3.88,6524
31,VWDCM1,AA 7034 OD,2022,4,39:03.0,94,5.74,6276.1
205,VJHAM1,B 9984 BYZ,2022,4,59:35.0,86,13.72,142.1
24,VWDCM1,AA 7017 OD,2022,4,57:16.0,60,40.07,7378.4
134,VJARM1,A 9351 ZB,2022,4,47:00.0,27,72.6,1054.8
173,VJHMM1,B9354KCG,2022,4,19:53.0,66,33.37,707.1
140,VKAMP1,KB 8340 ME,2022,4,51:15.0,67,33.42,802.7
